home_l1,home_l2,work_l1,work_l2,public_l2,public_l3
880.97,2951.53,19.6,136.02,334.43,0.0
873.14,2660.31,19.6,128.8,297.69,0.0
855.03,2327.49,19.6,117.62,269.27,0.0
835.48,2070.98,19.6,99.0,225.9,0.0
806.93,1812.98,20.61,63.34,195.82,0.0
781.32,1573.91,22.3,55.48,192.15,0.0
751.07,1430.94,22.4,48.6,180.62,0.0
723.68,1238.53,21.0,48.6,176.43,0.0
695.6,1093.63,21.18,37.53,161.7,0.0
663.46,976.17,22.4,36.1,142.73,0.0
635.83,882.25,21.19,35.1,129.95,0.0
614.37,749.79,21.0,38.5,125.19,0.0
589.29,600.7,21.0,34.24,109.28,0.0
550.86,500.34,21.23,38.4,110.08,0.0
525.72,417.37,23.8,43.38,96.55,0.0
498.65,340.93,23.8,53.12,93.64,0.0
467.82,292.23,23.8,45.0,116.16,0.0
437.94,250.06,23.8,51.64,100.98,0.0
403.34,207.75,23.8,67.72,90.34,0.0
385.05,174.62,24.09,77.76,92.41,0.0
362.52,149.73,25.2,108.82,106.19,0.0
335.63,108.94,26.15,143.42,111.71,0.0
310.21,91.85,30.8,166.17,141.09,0.0
288.26,76.16,35.98,200.07,184.24,0.0
262.88,62.97,44.88,178.48,300.65,0.0
242.78,64.8,45.25,207.34,353.38,0.0
217.59,72.63,50.24,206.47,396.48,0.0
199.67,65.67,57.1,227.28,440.84,0.0
181.89,74.23,68.05,252.77,518.76,120.25
168.04,99.26,76.62,294.2,590.93,245.08
147.18,141.54,85.01,316.63,776.11,181.08
135.07,140.33,103.98,352.73,900.18,37.65
124.12,215.99,121.52,400.07,1155.49,118.3
117.94,242.55,138.94,458.38,1259.45,83.53
108.28,254.3,157.78,558.55,1449.79,90.98
100.83,265.63,182.12,678.55,1555.4,206.22
97.19,246.96,205.82,756.31,1718.93,420.84
91.9,308.51,225.51,873.82,1701.24,320.27
91.69,316.47,238.47,994.32,1758.93,381.73
87.2,310.97,259.44,1093.08,1829.07,304.74
81.71,346.56,276.1,1256.1,2077.31,360.1
80.8,425.4,288.62,1414.66,2048.97,270.98
81.89,499.78,298.07,1560.32,1984.3,196.46
89.03,500.98,311.1,1698.02,2038.19,150.74
100.42,554.67,327.77,1788.6,2095.57,284.96
106.29,630.01,339.34,1963.73,2036.06,288.05
113.03,699.74,344.38,1903.01,1960.95,296.06
123.08,810.34,342.31,1961.97,1993.35,293.64
134.8,965.71,329.16,1893.75,1975.66,323.12
149.78,1134.48,326.99,1983.11,1971.3,306.21
162.34,1230.39,330.51,2080.58,1949.41,422.84
161.72,1196.97,341.52,2280.27,1916.49,377.26
170.4,1318.18,349.7,2400.83,1937.46,149.79
177.05,1372.34,359.87,2588.08,1970.44,100.79
183.81,1432.12,358.81,2735.27,1976.36,373.16
184.6,1564.45,369.57,2993.24,1938.95,455.13
192.87,1693.46,367.22,3014.15,1923.33,505.52
208.83,1856.68,377.61,3224.55,1820.51,376.91
229.75,2200.66,370.08,3226.16,1841.96,279.03
248.89,2430.6,365.32,3405.14,1807.7,184.49
292.03,2675.21,365.25,3408.52,1809.64,297.74
329.39,2949.73,368.27,3613.91,1814.97,150.38
367.36,3441.16,362.49,3492.86,1734.59,221.36
394.24,3730.39,372.93,3615.45,1640.32,154.69
441.27,4095.94,349.95,3430.13,1598.43,166.96
485.07,4476.58,342.51,3546.64,1514.27,127.28
540.78,4763.7,316.91,3174.79,1522.56,70.5
587.33,4980.74,309.7,3153.28,1500.4,49.17
622.4,5568.98,252.67,2423.67,1596.83,83.17
657.0,6062.52,219.63,2212.51,1648.84,139.31
700.41,6664.37,173.51,1710.86,1728.26,251.85
738.16,6882.96,156.66,1531.95,1740.77,397.18
787.34,7360.34,116.62,1128.97,1808.84,568.8
817.98,7551.64,105.48,946.79,1828.31,629.17
851.18,7804.08,91.74,699.84,1875.55,242.99
870.4,7830.38,80.26,638.73,1863.3,264.78
895.34,7775.1,60.08,485.58,1922.47,171.82
914.42,7736.21,55.55,445.21,1850.59,67.62
927.77,7638.56,46.2,374.5,1777.44,91.7
935.41,7382.4,39.29,330.74,1759.33,156.89
950.42,7301.33,29.22,302.02,1590.53,115.45
962.78,7108.95,27.98,320.44,1472.9,63.25
993.15,6991.28,28.0,287.19,1241.52,46.28
1007.12,6925.63,28.86,321.14,1089.85,20.5
1018.73,6766.3,21.67,264.62,998.0,0.0
1024.74,6653.02,23.33,275.3,922.97,0.0
1036.14,6518.37,23.8,251.24,795.37,0.0
1036.97,6233.98,23.8,257.05,684.01,0.0
1026.48,5929.16,21.0,215.38,604.58,0.0
1023.97,5595.57,18.29,212.1,527.09,0.0
1025.03,5269.21,18.07,144.04,508.63,0.0
1007.09,4869.48,18.2,144.51,469.12,0.0
1006.97,4603.21,16.8,127.28,422.97,32.82
989.07,4208.0,15.4,130.69,385.19,61.48
968.2,3750.79,16.16,128.79,376.6,61.48
939.62,3377.76,18.65,135.7,365.32,1.28
